Relation1,Relation2,Product
"B","B","B"
"B","BI","B BI D DI E F FI M MI O OI PE PF PFI PS PSI S SI"
"B","D","B D M O PS S"
"B","DI","B"
"B","E","B"
"B","F","B D M O PS S"
"B","FI","B"
"B","M","B"
"B","MI","B D M O PS S"
"B","O","B"
"B","OI","B D M O PS S"
"B","PE","B"
"B","PF","B D M O PS S"
"B","PFI","B"
"B","PS","B"
"B","PSI","B"
"B","S","B"
"B","SI","B"
"BI","B","B BI D DI E F FI M MI O OI PE PF PFI PS PSI S SI"
"BI","BI","BI"
"BI","D","BI D F MI OI PF"
"BI","DI","BI"
"BI","E","BI"
"BI","F","BI"
"BI","FI","BI"
"BI","M","BI D F MI OI PF"
"BI","MI","BI"
"BI","O","BI D F MI OI PF"
"BI","OI","BI"
"BI","PE","BI"
"BI","PF","BI"
"BI","PFI","BI"
"BI","PS","BI D F MI OI PF"
"BI","PSI","BI"
"BI","S","BI D F MI OI PF"
"BI","SI","BI"
"D","B","B"
"D","BI","BI"
"D","D","D"
"D","DI","B BI D DI E F FI M MI O OI PE PF PFI PS PSI S SI"
"D","E","D"
"D","F","D"
"D","FI","B D M O PS S"
"D","M","B"
"D","MI","BI"
"D","O","B D M O PS S"
"D","OI","BI D F MI OI PF"
"D","PE","-"
"D","PF","-"
"D","PFI","B"
"D","PS","-"
"D","PSI","BI"
"D","S","D"
"D","SI","BI D F MI OI PF"
"DI","B","B DI FI M O PFI"
"DI","BI","BI DI MI OI PSI SI"
"DI","D","D DI E F FI O OI S SI"
"DI","DI","DI"
"DI","E","DI"
"DI","F","DI OI SI"
"DI","FI","DI"
"DI","M","DI FI O"
"DI","MI","DI OI SI"
"DI","O","DI FI O"
"DI","OI","DI OI SI"
"DI","PE","DI"
"DI","PF","DI OI SI"
"DI","PFI","DI"
"DI","PS","DI FI O"
"DI","PSI","DI"
"DI","S","DI FI O"
"DI","SI","DI"
"E","B","B"
"E","BI","BI"
"E","D","D"
"E","DI","DI"
"E","E","E"
"E","F","F"
"E","FI","FI"
"E","M","M"
"E","MI","MI"
"E","O","O"
"E","OI","OI"
"E","PE","-"
"E","PF","-"
"E","PFI","PFI"
"E","PS","-"
"E","PSI","PSI"
"E","S","S"
"E","SI","SI"
"F","B","B"
"F","BI","BI"
"F","D","D"
"F","DI","BI DI MI OI PSI SI"
"F","E","F"
"F","F","F"
"F","FI","E F FI"
"F","M","M"
"F","MI","BI"
"F","O","D O S"
"F","OI","BI MI OI"
"F","PE","-"
"F","PF","-"
"F","PFI","PFI"
"F","PS","-"
"F","PSI","BI"
"F","S","D"
"F","SI","BI MI OI"
"FI","B","B"
"FI","BI","BI DI MI OI PSI SI"
"FI","D","D O S"
"FI","DI","DI"
"FI","E","FI"
"FI","F","E F FI"
"FI","FI","FI"
"FI","M","M"
"FI","MI","DI OI SI"
"FI","O","O"
"FI","OI","DI OI SI"
"FI","PE","-"
"FI","PF","-"
"FI","PFI","PFI"
"FI","PS","-"
"FI","PSI","DI"
"FI","S","O"
"FI","SI","DI"
"M","B","B"
"M","BI","BI DI MI OI PSI SI"
"M","D","D O S"
"M","DI","B"
"M","E","M"
"M","F","D O S"
"M","FI","B"
"M","M","B"
"M","MI","E F FI"
"M","O","B"
"M","OI","D O S"
"M","PE","-"
"M","PF","-"
"M","PFI","B"
"M","PS","-"
"M","PSI","PFI"
"M","S","M"
"M","SI","M"
"MI","B","B DI FI M O PFI"
"MI","BI","BI"
"MI","D","D F OI"
"MI","DI","BI"
"MI","E","MI"
"MI","F","MI"
"MI","FI","MI"
"MI","M","E S SI"
"MI","MI","BI"
"MI","O","D F OI"
"MI","OI","BI"
"MI","PE","-"
"MI","PF","-"
"MI","PFI","PSI"
"MI","PS","-"
"MI","PSI","BI"
"MI","S","D F OI"
"MI","SI","BI"
"O","B","B"
"O","BI","BI DI MI OI PSI SI"
"O","D","D O S"
"O","DI","B DI FI M O PFI"
"O","E","O"
"O","F","D O S"
