Relation1,Relation2,Product
"B","B","B"
"B","BI","B BI D DI E F FI LB LBI LF LO LOI L~ M MI O OI PE PF PFI PS PSI S SI"
"B","D","B D LB LO M O PS S"
"B","DI","B"
"B","E","B"
"B","F","B D LB LO M O PS S"
"B","FI","B"
"B","LB","LB"
"B","LBI","L~"
"B","LF","LB"
"B","LO","LB"
"B","LOI","LB"
"B","L~","L~"
"B","M","B"
"B","MI","B D LB LO M O PS S"
"B","O","B"
"B","OI","B D LB LO M O PS S"
"B","PE","B"
"B","PF","B D LB LO M O PS S"
"B","PFI","B"
"B","PS","B"
"B","PSI","B"
"B","S","B"
"B","SI","B"
"BI","B","B BI D DI E F FI M MI O OI PE PF PFI PS PSI S SI"
"BI","BI","BI"
"BI","D","BI D F MI OI PF"
"BI","DI","BI"
"BI","E","BI"
"BI","F","BI"
"BI","FI","BI"
"BI","LB","BI D F LB LF LO LOI MI OI PF"
"BI","LBI","BI"
"BI","LF","BI"
"BI","LO","BI D F MI OI PF"
"BI","LOI","BI"
"BI","L~","BI LBI L~"
"BI","M","BI D F MI OI PF"
"BI","MI","BI"
"BI","O","BI D F MI OI PF"
"BI","OI","BI"
"BI","PE","BI"
"BI","PF","BI"
"BI","PFI","BI"
"BI","PS","BI D F MI OI PF"
"BI","PSI","BI"
"BI","S","BI D F MI OI PF"
"BI","SI","BI"
"D","B","B"
"D","BI","BI"
"D","D","D"
"D","DI","B BI D DI E F FI M MI O OI PE PF PFI PS PSI S SI"
"D","E","D"
"D","F","D"
"D","FI","B D M O PS S"
"D","LB","LB"
"D","LBI","BI LBI L~"
"D","LF","D LB LO"
"D","LO","D LB LO"
"D","LOI","BI D F LB LF LO LOI MI OI PF"
"D","L~","L~"
"D","M","B"
"D","MI","BI"
"D","O","B D M O PS S"
"D","OI","BI D F MI OI PF"
"D","PE","-"
"D","PF","-"
"D","PFI","B"
"D","PS","-"
"D","PSI","BI"
"D","S","D"
"D","SI","BI D F MI OI PF"
"DI","B","B DI FI M O PFI"
"DI","BI","BI DI LBI LOI MI OI PSI SI"
"DI","D","D DI E F FI LF LO LOI O OI S SI"
"DI","DI","DI"
"DI","E","DI"
"DI","F","DI LOI OI SI"
"DI","FI","DI"
"DI","LB","LB LF LO LOI"
"DI","LBI","LBI"
"DI","LF","LOI"
"DI","LO","LF LO LOI"
"DI","LOI","LOI"
"DI","L~","LBI L~"
"DI","M","DI FI O"
"DI","MI","DI LOI OI SI"
"DI","O","DI FI O"
"DI","OI","DI LOI OI SI"
"DI","PE","DI"
"DI","PF","DI LOI OI SI"
"DI","PFI","DI"
"DI","PS","DI FI O"
"DI","PSI","DI"
"DI","S","DI FI O"
"DI","SI","DI"
"E","B","B"
"E","BI","BI"
"E","D","D"
"E","DI","DI"
"E","E","E"
"E","F","F"
"E","FI","FI"
"E","LB","LB"
"E","LBI","LBI"
"E","LF","LF"
"E","LO","LO"
"E","LOI","LOI"
"E","L~","L~"
"E","M","M"
"E","MI","MI"
"E","O","O"
"E","OI","OI"
"E","PE","-"
"E","PF","-"
"E","PFI","PFI"
"E","PS","-"
"E","PSI","PSI"
"E","S","S"
"E","SI","SI"
"F","B","B"
"F","BI","BI"
"F","D","D"
"F","DI","BI DI MI OI PSI SI"
"F","E","F"
"F","F","F"
"F","FI","E F FI"
"F","LB","LB"
"F","LBI","BI LBI"
"F","LF","F LF"
"F","LO","D LO"
"F","LOI","BI LOI MI OI"
"F","L~","L~"
"F","M","M"
"F","MI","BI"
"F","O","D O S"
"F","OI","BI MI OI"
"F","PE","-"
"F","PF","-"
"F","PFI","PFI"
"F","PS","-"
"F","PSI","BI"
"F","S","D"
"F","SI","BI MI OI"
"FI","B","B"
"FI","BI","BI DI LBI LOI MI OI PSI SI"
"FI","D","D LO O S"
"FI","DI","DI"
"FI","E","FI"
"FI","F","E F FI LF"
"FI","FI","FI"
"FI","LB","LB"
"FI","LBI","LBI"
"FI","LF","LF"
"FI","LO","LO"
"FI","LOI","LOI"
"FI","L~","L~"
"FI","M","M"
"FI","MI","DI LOI OI SI"
"FI","O","O"
"FI","OI","DI LOI OI SI"
"FI","PE","-"
"FI","PF","-"
"FI","PFI","PFI"
"FI","PS","-"
"FI","PSI","DI"
"FI","S","O"
"FI","SI","DI"
"LB","B","B"
"LB","BI","L~"
"LB","D","LB"
"LB","DI","B LB L~"
"LB","E","LB"
"LB","F","LB"
"LB","FI","B LB"
"LB","LB","LB"
"LB","LBI","B BI D DI E F FI LB LBI LF LO LOI L~ M MI O OI PE PF PFI PS PSI S SI"
"LB","LF","B D LB LO M O PS S"
"LB","LO","B D LB LO M O PS S"
"LB","LOI","B D LB LO L~ M O PS S"
"LB","L~","L~"
"LB","M","B"
"LB","MI","L~"
"LB","O","B LB"
"LB","OI","LB L~"
"LB","PE","-"
"LB","PF","-"
"LB","PFI","B"
"LB","PS","-"
"LB","PSI","L~"
"LB","S","LB"
"LB","SI","LB L~"
"LBI","B","B DI FI LBI LF LO LOI M O PFI"
"LBI","BI","LBI"
"LBI","D","LBI LF LO LOI"
"LBI","DI","LBI"
"LBI","E","LBI"
"LBI","F","LBI"
"LBI","FI","LBI"
"LBI","LB","D DI E F FI LB LBI LF LO LOI O OI S SI"
"LBI","LBI","LBI"
"LBI","LF","LBI"
"LBI","LO","LBI LF LO LOI"
"LBI","LOI","LBI"
"LBI","L~","BI DI LBI LOI L~ MI OI PSI SI"
"LBI","M","LBI LF LO LOI"
"LBI","MI","LBI"
"LBI","O","LBI LF LO LOI"
"LBI","OI","LBI"
"LBI","PE","LBI"
"LBI","PF","LBI"
"LBI","PFI","LBI"
"LBI","PS","LBI LF LO LOI"
"LBI","PSI","LBI"
"LBI","S","LBI LF LO LOI"
"LBI","SI","LBI"
"LF","B","B"
"LF","BI","LBI"
"LF","D","LO"
"LF","DI","DI LBI LOI"
"LF","E","LF"
"LF","F","LF"
"LF","FI","FI LF"
"LF","LB","LB"
"LF","LBI","BI DI LBI LOI MI OI PSI SI"
"LF","LF","E F FI LF"
"LF","LO","D LO O S"
"LF","LOI","DI LBI LOI OI SI"
"LF","L~","L~"
"LF","M","M"
"LF","MI","LBI"
"LF","O","LO O"
"LF","OI","LBI LOI"
"LF","PE","-"
"LF","PF","-"
"LF","PFI","PFI"
"LF","PS","-"
"LF","PSI","LBI"
"LF","S","LO"
"LF","SI","LBI LOI"
"LO","B","B"
"LO","BI","LBI"
"LO","D","LO"
"LO","DI","B DI FI LBI LF LO LOI M O PFI"
"LO","E","LO"
"LO","F","LO"
"LO","FI","B LO M O"
"LO","LB","LB"
"LO","LBI","BI DI LBI LOI L~ MI OI PSI SI"
"LO","LF","D LB LO O S"
"LO","LO","D LB LO O S"
"LO","LOI","D DI E F FI LB LBI LF LO LOI O OI S SI"
"LO","L~","L~"
"LO","M","B"
"LO","MI","LBI"
"LO","O","B LO M O"
"LO","OI","LBI LF LO LOI"
"LO","PE","-"
"LO","PF","-"
"LO","PFI","B"
"LO","PS","-"
"LO","PSI","LBI"
"LO","S","LO"
"LO","SI","LBI LF LO LOI"
"LOI","B","B DI FI M O PFI"
"LOI","BI","LBI"
"LOI","D","LF LO LOI"
"LOI","DI","DI LBI LOI"
"LOI","E","LOI"
"LOI","F","LOI"
"LOI","FI","DI LOI"
"LOI","LB","LB LF LO LOI"
"LOI","LBI","BI DI LBI LOI MI OI PSI SI"
"LOI","LF","DI LOI OI SI"
"LOI","LO","D DI E F FI LF LO LOI O OI S SI"
"LOI","LOI","DI LBI LOI OI SI"
"LOI","L~","LBI L~"
"LOI","M","DI FI O"
"LOI","MI","LBI"
"LOI","O","DI FI LF LO LOI O"
"LOI","OI","LBI LOI"
"LOI","PE","-"
"LOI","PF","-"
"LOI","PFI","DI"
"LOI","PS","-"
"LOI","PSI","LBI"
"LOI","S","LF LO LOI"
"LOI","SI","LBI LOI"
"L~","B","B LB L~"
"L~","BI","L~"
"L~","D","LB L~"
"L~","DI","L~"
"L~","E","L~"
"L~","F","L~"
"L~","FI","L~"
"L~","LB","B D LB LO L~ M O PS S"
"L~","LBI","L~"
"L~","LF","L~"
"L~","LO","LB L~"
"L~","LOI","L~"
"L~","L~","B BI D DI E F FI LB LBI LF LO LOI L~ M MI O OI PE PF PFI PS PSI S SI"
"L~","M","LB L~"
"L~","MI","L~"
"L~","O","LB L~"
"L~","OI","L~"
"L~","PE","L~"
"L~","PF","L~"
"L~","PFI","L~"
"L~","PS","LB L~"
"L~","PSI","L~"
"L~","S","LB L~"
"L~","SI","L~"
"M","B","B"
"M","BI","BI DI LBI LOI MI OI PSI SI"
"M","D","D LO O S"
"M","DI","B"
"M","E","M"
"M","F","D LO O S"
"M","FI","B"
"M","LB","LB"
"M","LBI","L~"
"M","LF","LB"
"M","LO","LB"
"M","LOI","LB"
"M","L~","L~"
"M","M","B"
"M","MI","E F FI LF"
"M","O","B"
"M","OI","D LO O S"
"M","PE","-"
"M","PF","-"
"M","PFI","B"
"M","PS","-"
"M","PSI","PFI"
"M","S","M"
"M","SI","M"
"MI","B","B DI FI M O PFI"
"MI","BI","BI"
"MI","D","D F OI"
"MI","DI","BI"
"MI","E","MI"
"MI","F","MI"
"MI","FI","MI"
"MI","LB","LB LF LO LOI"
"MI","LBI","BI"
"MI","LF","MI"
"MI","LO","D F OI"
"MI","LOI","BI"
"MI","L~","LBI L~"
"MI","M","E S SI"
"MI","MI","BI"
"MI","O","D F OI"
"MI","OI","BI"
"MI","PE","-"
"MI","PF","-"
"MI","PFI","PSI"
"MI","PS","-"
"MI","PSI","BI"
"MI","S","D F OI"
"MI","SI","BI"
"O","B","B"
"O","BI","BI DI LBI LOI MI OI PSI SI"
"O","D","D LO O S"
"O","DI","B DI FI M O PFI"
"O","E","O"
"O","F","D LO O S"
"O","FI","B M O"
"O","LB","LB"
"O","LBI","LBI L~"
"O","LF","LB LO"
"O","LO","LB LO"
"O","LOI","LB LF LO LOI"
"O","L~","L~"
"O","M","B"
"O","MI","DI LOI OI SI"
"O","O","B M O"
"O","OI","D DI E F FI LF LO LOI O OI S SI"
"O","PE","-"
"O","PF","-"
"O","PFI","B"
"O","PS","-"
"O","PSI","DI"
"O","S","O"
"O","SI","DI FI O"
"OI","B","B DI FI M O PFI"
"OI","BI","BI"
"OI","D","D F OI"
"OI","DI","BI DI MI OI PSI SI"
"OI","E","OI"
"OI","F","OI"
"OI","FI","DI OI SI"
"OI","LB","LB LF LO LOI"
"OI","LBI","BI LBI"
"OI","LF","LOI OI"
"OI","LO","D F LF LO LOI OI"
"OI","LOI","BI LOI MI OI"
"OI","L~","LBI L~"
"OI","M","DI FI O"
"OI","MI","BI"
"OI","O","D DI E F FI O OI S SI"
"OI","OI","BI MI OI"
"OI","PE","-"
"OI","PF","-"
"OI","PFI","DI"
"OI","PS","-"
"OI","PSI","BI"
"OI","S","D F OI"
"OI","SI","BI MI OI"
"PE","B","B"
"PE","BI","BI"
"PE","D","D"
"PE","DI","-"
"PE","E","-"
"PE","F","-"
"PE","FI","-"
"PE","LB","LB"
"PE","LBI","-"
"PE","LF","-"
"PE","LO","-"
"PE","LOI","-"
"PE","L~","L~"
"PE","M","-"
"PE","MI","-"
"PE","O","-"
"PE","OI","-"
"PE","PE","PE"
"PE","PF","PF"
"PE","PFI","-"
"PE","PS","PS"
"PE","PSI","-"
"PE","S","-"
"PE","SI","-"
"PF","B","B"
"PF","BI","BI"
"PF","D","D"
"PF","DI","BI"
"PF","E","PF"
"PF","F","PF"
"PF","FI","PF"
"PF","LB","LB"
"PF","LBI","BI"
"PF","LF","PF"
"PF","LO","D"
"PF","LOI","BI"
"PF","L~","L~"
"PF","M","PS"
"PF","MI","BI"
"PF","O","D"
"PF","OI","BI"
"PF","PE","-"
"PF","PF","-"
"PF","PFI","PE"
"PF","PS","-"
"PF","PSI","BI"
"PF","S","D"
"PF","SI","BI"
"PFI","B","B"
"PFI","BI","BI DI LBI LOI MI OI PSI SI"
"PFI","D","D LO O S"
"PFI","DI","-"
"PFI","E","-"
"PFI","F","-"
"PFI","FI","-"
"PFI","LB","LB"
"PFI","LBI","-"
"PFI","LF","-"
"PFI","LO","-"
"PFI","LOI","-"
"PFI","L~","L~"
"PFI","M","-"
"PFI","MI","-"
"PFI","O","-"
"PFI","OI","-"
"PFI","PE","PFI"
"PFI","PF","E F FI LF"
"PFI","PFI","-"
"PFI","PS","M"
"PFI","PSI","-"
"PFI","S","-"
"PFI","SI","-"
"PS","B","B"
"PS","BI","BI"
"PS","D","D"
"PS","DI","B"
"PS","E","PS"
"PS","F","D"
"PS","FI","B"
"PS","LB","LB"
"PS","LBI","L~"
"PS","LF","LB"
"PS","LO","LB"
"PS","LOI","LB"
"PS","L~","L~"
"PS","M","B"
"PS","MI","PF"
"PS","O","B"
"PS","OI","D"
"PS","PE","-"
"PS","PF","-"
"PS","PFI","B"
"PS","PS","-"
"PS","PSI","PE"
"PS","S","PS"
"PS","SI","PS"
"PSI","B","B DI FI M O PFI"
"PSI","BI","BI"
"PSI","D","D F OI"
"PSI","DI","-"
"PSI","E","-"
"PSI","F","-"
"PSI","FI","-"
"PSI","LB","LB LF LO LOI"
"PSI","LBI","-"
"PSI","LF","-"
"PSI","LO","-"
"PSI","LOI","-"
"PSI","L~","LBI L~"
"PSI","M","-"
"PSI","MI","-"
"PSI","O","-"
"PSI","OI","-"
"PSI","PE","PSI"
"PSI","PF","MI"
"PSI","PFI","-"
"PSI","PS","E S SI"
"PSI","PSI","-"
"PSI","S","-"
"PSI","SI","-"
"S","B","B"
"S","BI","BI"
"S","D","D"
"S","DI","B DI FI M O PFI"
"S","E","S"
"S","F","D"
"S","FI","B M O"
"S","LB","LB"
"S","LBI","LBI L~"
"S","LF","LB LO"
"S","LO","LB LO"
"S","LOI","LB LF LO LOI"
"S","L~","L~"
"S","M","B"
"S","MI","MI"
"S","O","B M O"
"S","OI","D F OI"
"S","PE","-"
"S","PF","-"
"S","PFI","B"
"S","PS","-"
"S","PSI","PSI"
"S","S","S"
"S","SI","E S SI"
"SI","B","B DI FI M O PFI"
