Relation1,Relation2,Product
"B","B","B"
"B","BI","B BI D DI E F FI M MI O OI PE PF PFI PS PSI S SI"
"B","D","B D M O PS S"
"B","DI","B"
"B","E","B"
"B","F","B D M O PS S"
"B","FI","B"
"B","M","B"
"B","MI","B D M O PS S"
"B","O","B"
"B","OI","B D M O PS S"
"B","PE","B"
"B","PF","B D M O PS S"
"B","PFI","B"
"B","PS","B"
"B","PSI","B"
"B","RB","B"
"B","RBI","B D M O PS RBI RO ROI RS S"
"B","RO","B"
"B","ROI","B D M O PS S"
"B","RS","B"
"B","R~","B RB R~"
"B","S","B"
"B","SI","B"
"BI","B","B BI D DI E F FI M MI O OI PE PF PFI PS PSI RB RBI RO ROI RS R~ S SI"
"BI","BI","BI"
"BI","D","BI D F MI OI PF RBI ROI"
"BI","DI","BI"
"BI","E","BI"
"BI","F","BI"
"BI","FI","BI"
"BI","M","BI D F MI OI PF RBI ROI"
"BI","MI","BI"
"BI","O","BI D F MI OI PF RBI ROI"
"BI","OI","BI"
"BI","PE","BI"
"BI","PF","BI"
"BI","PFI","BI"
"BI","PS","BI D F MI OI PF RBI ROI"
"BI","PSI","BI"
"BI","RB","R~"
"BI","RBI","RBI"
"BI","RO","RBI"
"BI","ROI","RBI"
"BI","RS","RBI"
"BI","R~","R~"
"BI","S","BI D F MI OI PF RBI ROI"
"BI","SI","BI"
"D","B","B"
"D","BI","BI"
"D","D","D"
"D","DI","B BI D DI E F FI M MI O OI PE PF PFI PS PSI S SI"
"D","E","D"
"D","F","D"
"D","FI","B D M O PS S"
"D","M","B"
"D","MI","BI"
"D","O","B D M O PS S"
"D","OI","BI D F MI OI PF"
"D","PE","-"
"D","PF","-"
"D","PFI","B"
"D","PS","-"
"D","PSI","BI"
"D","RB","B RB R~"
"D","RBI","RBI"
"D","RO","B D M O PS RBI RO ROI RS S"
"D","ROI","D RBI ROI"
"D","RS","D RBI ROI"
"D","R~","R~"
"D","S","D"
"D","SI","BI D F MI OI PF"
"DI","B","B DI FI M O PFI RB RO"
"DI","BI","BI DI MI OI PSI SI"
"DI","D","D DI E F FI O OI RO ROI RS S SI"
"DI","DI","DI"
"DI","E","DI"
"DI","F","DI OI SI"
"DI","FI","DI"
"DI","M","DI FI O RO"
"DI","MI","DI OI SI"
"DI","O","DI FI O RO"
"DI","OI","DI OI SI"
"DI","PE","DI"
"DI","PF","DI OI SI"
"DI","PFI","DI"
"DI","PS","DI FI O RO"
"DI","PSI","DI"
"DI","RB","RB"
"DI","RBI","RBI RO ROI RS"
"DI","RO","RO"
"DI","ROI","RO ROI RS"
"DI","RS","RO"
"DI","R~","RB R~"
"DI","S","DI FI O RO"
"DI","SI","DI"
"E","B","B"
"E","BI","BI"
"E","D","D"
"E","DI","DI"
"E","E","E"
"E","F","F"
"E","FI","FI"
"E","M","M"
"E","MI","MI"
"E","O","O"
"E","OI","OI"
"E","PE","-"
"E","PF","-"
"E","PFI","PFI"
"E","PS","-"
"E","PSI","PSI"
"E","RB","RB"
"E","RBI","RBI"
"E","RO","RO"
"E","ROI","ROI"
"E","RS","RS"
"E","R~","R~"
"E","S","S"
"E","SI","SI"
"F","B","B"
"F","BI","BI"
"F","D","D"
"F","DI","BI DI MI OI PSI SI"
"F","E","F"
"F","F","F"
"F","FI","E F FI"
"F","M","M"
"F","MI","BI"
"F","O","D O S"
"F","OI","BI MI OI"
"F","PE","-"
"F","PF","-"
"F","PFI","PFI"
"F","PS","-"
"F","PSI","BI"
"F","RB","RB R~"
"F","RBI","RBI"
"F","RO","RBI RO ROI RS"
"F","ROI","RBI ROI"
"F","RS","RBI ROI"
"F","R~","R~"
"F","S","D"
"F","SI","BI MI OI"
"FI","B","B"
"FI","BI","BI DI MI OI PSI SI"
"FI","D","D O S"
"FI","DI","DI"
"FI","E","FI"
"FI","F","E F FI"
"FI","FI","FI"
"FI","M","M"
"FI","MI","DI OI SI"
"FI","O","O"
"FI","OI","DI OI SI"
