Relation1,Relation2,Product
DC,DC,"DC EC PO TPP NTPP TPPI NTPPI EQ"
DC,EC,"DC EC PO TPP NTPP"
DC,PO,"DC EC PO TPP NTPP"
DC,TPP,"DC EC PO TPP NTPP"
DC,NTPP,"DC EC PO TPP NTPP"
DC,TPPI,"DC"
DC,NTPPI,"DC"
DC,EQ,"DC"
EC,DC,"DC EC PO TPPI NTPPI"
EC,EC,"DC EC PO TPP TPPI EQ"
EC,PO,"DC EC PO TPP NTPP"
EC,TPP,"EC PO TPP NTPP"
EC,NTPP,"PO TPP NTPP"
EC,TPPI,"DC EC"
EC,NTPPI,"DC"
EC,EQ,"EC"
PO,DC,"DC EC PO TPPI NTPPI"
PO,EC,"DC EC PO TPPI NTPPI"
PO,PO,"DC EC PO TPP NTPP TPPI NTPPI EQ"
PO,TPP,"PO TPP NTPP"
PO,NTPP,"PO TPP NTPP"
PO,TPPI,"DC EC PO TPPI NTPPI"
PO,NTPPI,"DC EC PO TPPI NTPPI"
PO,EQ,"PO"
TPP,DC,"DC"
TPP,EC,"DC EC"
TPP,PO,"DC EC PO TPP NTPP"
TPP,TPP,"TPP NTPP"
TPP,NTPP,"NTPP"
TPP,TPPI,"DC EC PO TPP TPPI EQ"
TPP,NTPPI,"DC EC PO TPPI NTPPI"
TPP,EQ,"TPP"
NTPP,DC,"DC"
NTPP,EC,"DC"
NTPP,PO,"DC EC PO TPP NTPP"
NTPP,TPP,"NTPP"
NTPP,NTPP,"NTPP"
NTPP,TPPI,"DC EC PO TPP NTPP"
NTPP,NTPPI,"DC EC PO TPP NTPP TPPI NTPPI EQ"
NTPP,EQ,"NTPP"
TPPI,DC,"DC EC PO TPPI NTPPI"
TPPI,EC,"EC PO TPPI NTPPI"
TPPI,PO,"PO TPPI NTPPI"
TPPI,TPP,"PO TPP TPPI EQ"
TPPI,NTPP,"PO TPP NTPP"
TPPI,TPPI,"TPPI NTPPI"
TPPI,NTPPI,"NTPPI"
TPPI,EQ,"TPPI"
NTPPI,DC,"DC EC PO TPPI NTPPI"
NTPPI,EC,"PO TPPI NTPPI"
NTPPI,PO,"PO TPPI NTPPI"
NTPPI,TPP,"PO TPPI NTPPI"
NTPPI,NTPP,"PO TPP NTPP TPPI NTPPI EQ"
NTPPI,TPPI,"NTPPI"
NTPPI,NTPPI,"NTPPI"
NTPPI,EQ,"NTPPI"
EQ,DC,"DC"
EQ,EC,"EC"
EQ,PO,"PO"
EQ,TPP,"TPP"
EQ,NTPP,"NTPP"
EQ,TPPI,"TPPI"
EQ,NTPPI,"NTPPI"
EQ,EQ,"EQ"
